#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
OV|BATAN||VMU|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|10.0|0.0|V|0.1|2007-12-01T00:00:00.0000|
OV|BATAN||VMV|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|10.0|0.0|V|0.1|2007-12-01T00:00:00.0000|
OV|BATAN||VMW|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|10.0|0.0|V|0.1|2007-12-01T00:00:00.0000|
OV|BATAN||VPB|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|10.0|0.0|PERCENT|0.1|2007-12-01T00:00:00.0000|
OV|CABA||BHE|10.2362|-85.343399|35.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Reftek 130 Datalogger|9.4132E8|0.3|M/S|50.0|2000-01-01T00:00:00.0000|2012-10-07T23:59:59.0000
OV|CABA||BHN|10.2362|-85.343399|35.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Reftek 130 Datalogger|9.4132E8|0.3|M/S|50.0|2000-01-01T00:00:00.0000|2012-10-07T23:59:59.0000
OV|CABA||BHZ|10.2362|-85.343399|35.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Reftek 130 Datalogger|9.4132E8|0.3|M/S|50.0|2000-01-01T00:00:00.0000|2012-10-07T23:59:59.0000
OV|CABA||HHE|10.2362|-85.343399|35.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Reftek 130 Datalogger|9.41678E8|0.4|M/S|100.0|2012-10-08T00:00:00.0000|
OV|CABA||HHN|10.2362|-85.343399|35.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Reftek 130 Datalogger|9.41678E8|0.4|M/S|100.0|2012-10-08T00:00:00.0000|
OV|CABA||HHZ|10.2362|-85.343399|35.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Reftek 130 Datalogger|9.41678E8|0.4|M/S|100.0|2012-10-08T00:00:00.0000|
OV|CABA||LOG|10.2362|-85.343399|35.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2012-10-08T00:00:00.0000|
OV|CABS||EHE|10.2362|-85.343399|35.0|0.0|90.0|0.0|L-22D, 2 Hz, 6.65 V/m/s, Rc=510 Ohms, Rs=2082 Ohms|48811.3|0.05|M/S|100.0|2015-02-12T00:00:00.0000|
OV|CABS||EHN|10.2362|-85.343399|35.0|0.0|0.0|0.0|L-22D, 2 Hz, 6.65 V/m/s, Rc=510 Ohms, Rs=2082 Ohms|48811.3|0.05|M/S|100.0|2015-02-12T00:00:00.0000|
OV|CABS||EHZ|10.2362|-85.343399|35.0|0.0|0.0|-90.0|L-22D, 2 Hz, 6.65 V/m/s, Rc=510 Ohms, Rs=2082 Ohms|48811.3|0.05|M/S|100.0|2015-02-12T00:00:00.0000|
OV|CALV||HHE|9.7418|-83.933197|2060.0|0.0|90.0|0.0|trillium_compact_OBS_SIO/Taurus Infinite 40V|2.99113E8|0.4|M/S|100.0|2013-01-01T00:00:00.0000|
OV|CALV||HHN|9.7418|-83.933197|2060.0|0.0|0.0|0.0|trillium_compact_OBS_SIO/Taurus Infinite 40V|2.99113E8|0.4|M/S|100.0|2013-01-01T00:00:00.0000|
OV|CALV||HHZ|9.7418|-83.933197|2060.0|0.0|0.0|-90.0|trillium_compact_OBS_SIO/Taurus Infinite 40V|2.99113E8|0.4|M/S|100.0|2013-01-01T00:00:00.0000|
OV|CAO||EHZ|9.6992|-85.100502|230.0|0.0|0.0|-90.0|Ranger SS1/Dummy Datalogger used in ignorance|1.66532E7|10.0|M/S|100.0|1984-04-01T00:00:00.0000|
OV|CAO2||BHE|9.688|-85.107002|179.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.50877E9|0.2|M/S|20.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||BHN|9.688|-85.107002|179.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.50877E9|0.2|M/S|20.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||BHZ|9.688|-85.107002|179.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.50877E9|0.2|M/S|20.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||ENE|9.688|-85.107002|179.0|0.0|90.0|0.0|RT147, DC to >150 Hz, +/-4g clip level, +/-10V ful|160383.0|0.05|M/S**2|200.0|2018-01-30T00:00:00.0000|
OV|CAO2||ENN|9.688|-85.107002|179.0|0.0|0.0|0.0|RT147, DC to >150 Hz, +/-4g clip level, +/-10V ful|160383.0|0.05|M/S**2|200.0|2018-01-30T00:00:00.0000|
OV|CAO2||ENZ|9.688|-85.107002|179.0|0.0|0.0|-90.0|RT147, DC to >150 Hz, +/-4g clip level, +/-10V ful|160383.0|0.05|M/S**2|200.0|2018-01-30T00:00:00.0000|
OV|CAO2||HHE|9.688|-85.107002|179.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.51042E9|0.4|M/S|100.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||HHN|9.688|-85.107002|179.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.51042E9|0.4|M/S|100.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||HHZ|9.688|-85.107002|179.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.51042E9|0.4|M/S|100.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||HNE|9.688|-85.107002|179.0|0.0|90.0|0.0|Episensor 200 Hz 10 Volt per g/Quanterra 330HR Lin|427894.0|0.03|M/S**2|200.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||HNE|9.688|-85.107002|179.0|0.0|90.0|0.0|RT147, DC to >150 Hz, +/-4g clip level, +/-10V ful|160383.0|0.05|M/S**2|200.0|2016-05-19T00:00:00.0000|2018-01-29T23:59:59.0000
OV|CAO2||HNN|9.688|-85.107002|179.0|0.0|0.0|0.0|Episensor 200 Hz 10 Volt per g/Quanterra 330HR Lin|427894.0|0.03|M/S**2|200.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||HNN|9.688|-85.107002|179.0|0.0|0.0|0.0|RT147, DC to >150 Hz, +/-4g clip level, +/-10V ful|160383.0|0.05|M/S**2|200.0|2016-05-19T00:00:00.0000|2018-01-29T23:59:59.0000
OV|CAO2||HNZ|9.688|-85.107002|179.0|0.0|0.0|-90.0|Episensor 200 Hz 10 Volt per g/Quanterra 330HR Lin|427894.0|0.03|M/S**2|200.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||HNZ|9.688|-85.107002|179.0|0.0|0.0|-90.0|RT147, DC to >150 Hz, +/-4g clip level, +/-10V ful|160383.0|0.05|M/S**2|200.0|2016-05-19T00:00:00.0000|2018-01-29T23:59:59.0000
OV|CAO2||LCE|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|1000000.0|0.0|S|1.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
